Iteration,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30
1,398.7946666635244,401.03855802766964,437.08347622058227,387.3448173464536,448.7784929478,442.07680932698617,447.8721288024766,469.8798380242441,453.0978020688376,466.6408486913079,443.9979419629535,428.5349903905314,438.74881072925524,452.997386674844,408.97555171009253,450.3279243463704,431.8608161690752,440.3494364369247,440.21906128410194,440.5632456471429,406.12773718656365,443.86397355872793,445.6894898188848,418.3290375960131,406.0366472904248,426.15253267349925,415.1532187484092,434.2939161412777,455.63877763327093,409.8767515755172
2,355.1445605295679,369.72882743566015,374.19401879376625,387.3448173464536,366.5704274493465,346.1639151499641,373.16949346107987,394.5910239320417,359.05134366803287,366.91331180326273,393.605617245361,373.6657375010868,359.35223950281886,372.43284839134134,364.12021984671344,404.31338000010476,400.56441876523974,365.3240762316358,368.038376279641,382.66564465045496,358.0509639288278,318.59791558641183,371.1753209274865,373.6803200118854,361.60094696837746,368.9346966365735,387.68702469037396,365.4521486061767,400.7509413876549,351.8885722013492
3,355.1445605295679,369.72882743566015,328.0869630846969,365.0569055565146,335.2029043525923,346.1639151499641,340.2469458810953,334.3195532590663,335.1366540650623,366.91331180326273,340.4918131218354,364.5992466120803,359.35223950281886,372.43284839134134,331.4922790218721,375.29383850800315,384.38064557607294,365.3240762316358,368.038376279641,336.9131910990671,357.5007001956389,318.59791558641183,371.1753209274865,299.75037533821893,361.60094696837746,343.443939453327,356.0698978830088,285.6636040628495,358.2183588151683,351.8885722013492
4,308.2519501840334,343.81914537391384,328.0869630846969,337.8618373663579,335.2029043525923,346.1639151499641,340.2469458810953,334.3195532590663,269.99154593705407,348.1789876855979,340.4918131218354,281.3290174497879,355.59022295611277,305.95044919130015,329.5183681258414,322.4160719664275,376.22981170308833,365.3240762316358,356.98418374337837,336.9131910990671,318.01431552735556,318.59791558641183,371.1753209274865,299.75037533821893,343.04585713849417,343.443939453327,356.0698978830088,285.6636040628495,345.5542528566734,314.82753204247297
5,308.2519501840334,343.81914537391384,328.0869630846969,337.8618373663579,316.4994437846109,296.49939796259594,332.5302917760194,323.90335128218686,269.99154593705407,331.64472033802406,320.91711902038617,281.3290174497879,351.0684570339874,305.95044919130015,307.7188926542752,322.4160719664275,324.531194336328,342.0327839298814,329.03639198464685,329.01150484705533,318.01431552735556,318.59791558641183,328.682767774192,299.75037533821893,306.00270453829904,327.2024104206814,338.3612043813636,280.34589417844256,311.71052164196834,314.82753204247297
6,308.2519501840334,327.5117743065698,307.65899912121495,337.8618373663579,316.4994437846109,296.49939796259594,330.6667848256051,291.5496379778493,269.99154593705407,323.98669868793957,320.91711902038617,281.3290174497879,318.45667339792027,305.95044919130015,302.442130850372,322.4160719664275,324.531194336328,339.64179162343595,310.21602777100225,329.01150484705533,316.6195741485491,318.59791558641183,318.9696789265265,299.75037533821893,299.4762192523212,321.1571224432635,284.6963172642931,280.34589417844256,311.71052164196834,314.82753204247297
7,308.2519501840334,310.439587933438,307.65899912121495,337.8618373663579,316.4994437846109,279.95792938054916,298.4924986999265,291.5496379778493,269.99154593705407,323.98669868793957,320.91711902038617,281.3290174497879,318.45667339792027,305.95044919130015,296.52939333724026,280.21693374770024,324.531194336328,328.77483944696695,290.7439610682249,329.01150484705533,307.7859844132452,295.3509753156724,317.1412503627667,299.75037533821893,279.96164395609753,300.9930594976081,284.6963172642931,280.34589417844256,240.72173269521076,314.82753204247297
8,308.2519501840334,310.439587933438,291.7621719812236,317.57671093251395,316.4994437846109,279.95792938054916,298.4924986999265,287.0351801868022,269.99154593705407,283.43098878242756,320.91711902038617,281.3290174497879,272.1645326648426,305.95044919130015,262.42113250255954,280.21693374770024,324.531194336328,328.77483944696695,290.7439610682249,286.73141004116485,307.7859844132452,295.3509753156724,314.72481016801436,299.75037533821893,279.96164395609753,299.829295723249,284.6963172642931,280.34589417844256,240.72173269521076,314.82753204247297
9,262.565015699728,310.439587933438,291.7621719812236,285.3820994898123,306.36475606004393,279.95792938054916,298.4924986999265,283.5509900775997,269.99154593705407,269.6588789044598,320.91711902038617,281.3290174497879,272.1645326648426,279.6626326226468,262.42113250255954,280.21693374770024,324.531194336328,294.49784757756896,290.7439610682249,286.73141004116485,279.7254025725269,295.3509753156724,289.84554101981826,279.67011575338483,279.96164395609753,299.829295723249,284.6963172642931,280.34589417844256,240.72173269521076,311.74368012913635
10,262.565015699728,310.439587933438,291.7621719812236,285.3820994898123,296.27571820418433,279.95792938054916,261.0535265280986,283.5509900775997,269.99154593705407,269.6588789044598,320.91711902038617,267.35232742715567,272.1645326648426,279.6626326226468,262.2334898243027,280.21693374770024,324.531194336328,294.49784757756896,245.37270677665285,286.73141004116485,268.89858788042005,276.8478110441232,289.84554101981826,257.46992368053463,279.96164395609753,299.829295723249,284.6963172642931,280.34589417844256,240.72173269521076,292.8812721049863
11,262.565015699728,310.439587933438,277.46330336801924,275.8547903298578,296.27571820418433,272.4557223464102,261.0535265280986,262.81176684813244,269.99154593705407,269.6588789044598,320.91711902038617,267.35232742715567,272.1645326648426,252.68963306458895,236.53460155113956,277.29060728617014,324.531194336328,294.49784757756896,245.37270677665285,286.73141004116485,268.89858788042005,276.8478110441232,289.84554101981826,251.3316658579217,279.96164395609753,270.6136562539812,284.6963172642931,280.34589417844256,240.72173269521076,292.8812721049863
12,262.565015699728,310.439587933438,277.46330336801924,228.059408359865,296.27571820418433,245.15206064721434,261.0535265280986,253.2170655630967,269.99154593705407,269.6588789044598,320.91711902038617,242.5137961593612,272.1645326648426,252.68963306458895,236.53460155113956,277.29060728617014,318.66818570726406,294.49784757756896,245.37270677665285,286.73141004116485,268.89858788042005,241.61111178210578,289.84554101981826,251.3316658579217,258.6328831190294,270.6136562539812,284.6963172642931,265.8270686063789,240.72173269521076,271.9615582032013
13,262.565015699728,310.439587933438,277.46330336801924,227.41664040098283,278.7567504180986,245.15206064721434,261.0535265280986,253.2170655630967,269.99154593705407,259.9340904411197,320.91711902038617,242.5137961593612,272.1645326648426,252.68963306458895,236.53460155113956,264.14733650072657,318.66818570726406,275.43490659113286,245.37270677665285,286.73141004116485,268.89858788042005,217.92669028622296,289.84554101981826,251.3316658579217,258.6328831190294,270.6136562539812,284.6963172642931,265.8270686063789,240.72173269521076,270.6099614129012
14,262.565015699728,303.78164129510054,277.46330336801924,227.41664040098283,278.7567504180986,245.15206064721434,261.0535265280986,253.2170655630967,269.99154593705407,254.0976547315312,317.41934159652953,238.82870654660314,272.1645326648426,252.68963306458895,226.6485797108666,264.14733650072657,318.66818570726406,242.0552416643289,239.3380360048939,268.7871560184912,248.49916818454398,217.92669028622296,289.84554101981826,194.74655431242135,225.35029337591064,268.64301662247743,284.6963172642931,256.699604215918,240.72173269521076,270.6099614129012
15,262.565015699728,276.3405370300561,273.90067552822023,227.41664040098283,268.33352293157463,210.861098837169,245.72279891733254,253.2170655630967,258.2535179181556,254.0976547315312,317.41934159652953,238.82870654660314,272.1645326648426,252.68963306458895,226.6485797108666,264.14733650072657,297.2827434984384,242.0552416643289,236.50623065269042,245.74040646004693,248.49916818454398,217.92669028622296,289.84554101981826,194.74655431242135,225.35029337591064,245.64444962196904,284.6963172642931,240.49272770823808,239.05389946896895,244.9459072350632
16,262.565015699728,276.3405370300561,258.1182415344919,227.41664040098283,268.33352293157463,210.861098837169,245.72279891733254,253.2170655630967,258.2535179181556,246.27516648613877,317.41934159652953,238.82870654660314,272.1645326648426,252.68963306458895,226.6485797108666,234.84437582268558,296.48792417417206,242.0552416643289,236.50623065269042,245.74040646004693,248.49916818454398,217.92669028622296,250.39309156595183,194.74655431242135,225.35029337591064,245.64444962196904,265.01667446791714,240.49272770823808,195.0267847673069,244.9459072350632
17,262.565015699728,272.84402187986205,258.1182415344919,227.41664040098283,268.33352293157463,210.861098837169,245.72279891733254,253.2170655630967,258.2535179181556,246.27516648613877,317.41934159652953,238.82870654660314,234.09877137371717,201.45257807100774,226.6485797108666,220.7977581482212,296.48792417417206,242.0552416643289,236.50623065269042,245.74040646004693,248.49916818454398,217.92669028622296,250.39309156595183,194.74655431242135,225.35029337591064,245.64444962196904,265.01667446791714,240.49272770823808,195.0267847673069,244.9459072350632
18,262.565015699728,270.7655098153319,243.99106858892537,227.41664040098283,268.33352293157463,210.861098837169,245.72279891733254,253.2170655630967,258.2535179181556,246.27516648613877,311.6660016558776,238.82870654660314,234.09877137371717,201.45257807100774,219.28621331074206,220.7977581482212,293.7236110604817,240.65388867172607,236.50623065269042,232.07852064697366,248.49916818454398,217.92669028622296,250.39309156595183,194.74655431242135,225.35029337591064,245.64444962196904,263.8192326061568,240.49272770823808,195.0267847673069,241.1748359285093
19,261.77193972258453,223.78296920334975,233.42193069908956,212.24049309059419,268.33352293157463,210.861098837169,245.72279891733254,253.2170655630967,258.2535179181556,246.27516648613877,297.82239357566857,238.82870654660314,234.09877137371717,201.45257807100774,219.28621331074206,198.99408657182335,293.7236110604817,226.10030537515348,236.50623065269042,232.07852064697366,239.0407912534481,217.92669028622296,250.39309156595183,194.74655431242135,225.35029337591064,245.64444962196904,263.8192326061568,222.3043188306391,195.0267847673069,240.64179775279493
20,261.77193972258453,223.78296920334975,222.90229577072125,212.24049309059419,267.0360352272427,210.861098837169,245.72279891733254,235.72993671845853,258.2535179181556,246.27516648613877,297.82239357566857,238.82870654660314,234.09877137371717,201.45257807100774,219.28621331074206,198.99408657182335,293.7236110604817,226.10030537515348,236.50623065269042,209.95597671594174,239.0407912534481,217.92669028622296,250.39309156595183,194.74655431242135,225.35029337591064,245.64444962196904,257.7737882488821,222.3043188306391,195.0267847673069,233.27983656424544
21,261.77193972258453,223.78296920334975,222.90229577072125,212.24049309059419,267.0360352272427,210.861098837169,239.0803733547556,228.303196524166,258.2535179181556,246.27516648613877,297.82239357566857,238.82870654660314,234.09877137371717,201.45257807100774,219.28621331074206,198.99408657182335,293.7236110604817,226.10030537515348,236.50623065269042,209.95597671594174,239.0407912534481,217.92669028622296,250.39309156595183,194.74655431242135,216.5296961057161,245.64444962196904,257.7737882488821,222.3043188306391,195.0267847673069,233.27983656424544
22,261.77193972258453,223.78296920334975,222.90229577072125,212.24049309059419,233.98533344589987,210.861098837169,236.22981784325833,228.303196524166,258.2535179181556,229.2373312446072,273.5836583277708,238.82870654660314,218.0280422969337,201.45257807100774,219.28621331074206,189.7592907988894,273.5697932794298,218.33185308985014,231.89303430305873,209.95597671594174,239.0407912534481,217.92669028622296,250.39309156595183,194.74655431242135,194.38570190223322,245.64444962196904,245.29526220862596,222.3043188306391,195.0267847673069,214.34168422383408
