Iteration,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30
1,633.2069888157805,606.4441193121341,573.0563787448815,587.9248785931243,648.45613059716,629.3978736679982,662.0781021191632,555.775185662757,567.2617376360116,520.6276340476479,587.3724186760029,602.3351115988199,550.8540246526559,580.3887562954164,500.03431510887344,625.4847085551646,575.6697697471145,596.5381034299631,625.7850491431267,540.0771634926912,640.4780958138388,559.1198701751243,530.1592839677595,482.0949719732614,619.2867480470737,597.3797743144903,643.8094645039291,589.1569573163288,657.391056081175,656.5533140498856
2,535.8604034321238,442.13741674472317,512.7212061190759,425.5305900029342,353.7448079020976,518.4779885878598,516.0575651535668,487.0413647503427,413.4625148979018,389.6602862140424,517.597288266149,479.748626753784,404.9144946944014,496.0062335197037,416.66502968448225,492.22147357898643,386.1531480892436,437.2906023951087,435.51294151906814,468.58644004595254,451.44516582343795,500.22782991201836,474.2326850895986,482.0949719732614,486.47457592026706,538.1827576349698,481.47495701683437,506.13244217406793,526.9450514986399,495.1016320209655
3,450.8440948370911,408.0000276739153,381.92221985858515,391.75000649315206,353.7448079020976,390.0996384693064,515.4240962894978,440.560390669413,411.85285136052164,389.6602862140424,456.7366750052033,461.25445116996855,387.5083393032148,455.2677683361937,371.449312606795,381.6344415891642,371.04390909060623,376.0605909194046,435.51294151906814,442.95776070205886,397.08034494360606,407.4422283851058,373.8933372238946,434.4931569686478,434.0284807819245,484.4936414997292,404.88509038077683,446.68257151805466,487.43168487090566,392.972708256726
4,402.1210914546556,343.2878249691867,379.42880059964904,320.5760926339942,353.7448079020976,359.3563957647723,442.73037286509856,388.60338516439697,325.8530264518302,350.5989157872099,354.60692521513715,438.1337177672732,345.7934831482415,391.47347571222804,364.40380810683604,332.55730870526054,334.74262463235624,333.2529073610423,377.84022357796124,336.0738277978995,347.9936861896036,354.2566390360298,373.8933372238946,356.6623389635709,377.62116130371476,415.71468913613285,384.03324274055086,397.1778070803249,426.35532473092235,364.09631932242615
5,345.33178652889995,343.2878249691867,366.70391654225386,320.5760926339942,303.17337879069623,319.1320810159385,421.41472767524033,364.8295238324688,320.72596760677595,342.7350893084056,354.60692521513715,389.3817957566839,298.50664718965817,391.47347571222804,314.4286877290287,315.17693005637096,334.74262463235624,294.520895642093,377.84022357796124,336.0738277978995,283.57079555012336,337.51371196121715,348.1858818841753,314.1006563042674,308.8523490036292,375.8789277768934,339.87815392847665,360.01051751143046,378.61781026882807,309.94198870710056
6,345.33178652889995,325.0300474416937,323.5779502503552,318.7589439949324,303.17337879069623,300.1040272564448,389.4293667034043,315.352544217725,317.54825337262133,313.9219989273539,351.465199112817,328.319110304574,286.9247327178956,330.07370411202606,314.4286877290287,272.00138471553015,282.6153922109037,294.520895642093,350.6026909563714,336.0738277978995,283.57079555012336,319.81660380954406,319.9530002472959,304.14228371496745,308.8523490036292,358.22169684629273,338.04895709662765,360.01051751143046,362.7456676645187,278.04037564606693
7,333.8868055223105,282.8865477495221,221.06526210154834,318.7589439949324,298.820205200538,300.1040272564448,370.7012026433756,262.18151068989494,299.70932170547303,313.9219989273539,346.2604730180899,299.34649167087736,260.82551818199056,295.84400990819626,314.4286877290287,272.00138471553015,282.6153922109037,294.520895642093,350.6026909563714,291.27172255177896,250.4218523230066,244.45870111817501,312.8600254072664,299.094197862295,297.35171909651206,282.5054574024831,264.0026570731042,303.53196007977846,339.8172091109192,278.04037564606693
8,297.27189508313035,282.8865477495221,221.06526210154834,318.7589439949324,287.3826268655578,300.1040272564448,318.1962680771703,262.18151068989494,263.0569215420969,290.9461635354,277.01357576523213,299.34649167087736,260.82551818199056,279.3966456700471,272.39652092086607,272.00138471553015,250.20836365610703,284.8945427141968,289.66697471773386,291.27172255177896,250.4218523230066,244.45870111817501,301.12351434013584,277.85276142671256,248.73763991493908,282.5054574024831,264.0026570731042,303.53196007977846,303.07284613046545,278.04037564606693
9,297.27189508313035,270.7190819550428,221.06526210154834,318.7589439949324,248.27512307139025,272.4117952884936,240.9944155641518,262.18151068989494,263.0569215420969,258.8491415360148,277.01357576523213,299.34649167087736,260.82551818199056,279.3966456700471,246.75626765217808,272.00138471553015,250.20836365610703,265.81945796973054,289.66697471773386,253.48367242456735,250.4218523230066,244.45870111817501,291.25164156025505,277.85276142671256,248.73763991493908,279.01702370742015,264.0026570731042,252.4749993911073,273.2555291989098,278.04037564606693
10,292.3210715284862,270.7190819550428,221.06526210154834,307.7896115991488,248.27512307139025,256.68988669684063,240.9944155641518,262.18151068989494,240.236491049696,258.8491415360148,277.01357576523213,257.08722908351757,221.47438676899475,279.3966456700471,246.75626765217808,267.541137243674,250.20836365610703,235.39801098600026,289.3952648377138,252.89663203635916,247.47214203057598,244.45870111817501,257.9386731753098,263.0302009845175,248.73763991493908,263.8583118809238,264.0026570731042,252.4749993911073,273.2555291989098,278.04037564606693
11,270.2698424531934,262.8965675356874,213.9144893579925,307.7896115991488,248.27512307139025,243.83321161578513,240.9944155641518,262.18151068989494,240.236491049696,253.79625832968708,241.02968533299247,257.08722908351757,221.47438676899475,279.3966456700471,246.75626765217808,267.541137243674,241.8972218366644,235.39801098600026,267.26400250377134,249.8819940440446,240.77017627610198,244.45870111817501,257.9386731753098,231.00669566411213,248.73763991493908,263.8583118809238,264.0026570731042,252.4749993911073,273.2555291989098,278.04037564606693
12,221.46998479826627,244.87566302991476,213.9144893579925,307.7896115991488,248.27512307139025,243.83321161578513,240.9944155641518,258.80202292635045,240.236491049696,253.79625832968708,218.54107177678043,223.9938969278765,221.47438676899475,243.17989067473428,246.75626765217808,267.541137243674,241.8972218366644,235.39801098600026,267.26400250377134,234.30507199661105,231.67955111987513,244.45870111817501,257.9386731753098,215.6942086565869,248.73763991493908,263.8583118809238,264.0026570731042,252.4749993911073,273.2555291989098,238.43311617092178
13,221.46998479826627,244.87566302991476,213.9144893579925,288.2825141778893,248.27512307139025,243.83321161578513,240.9944155641518,242.23598639542766,240.236491049696,245.2595768683008,218.54107177678043,215.8563643841496,221.47438676899475,243.17989067473428,246.75626765217808,267.541137243674,241.8972218366644,234.25815197663366,267.26400250377134,224.37087507275302,231.67955111987513,235.21094301010925,224.06019422816644,215.6942086565869,248.73763991493908,263.8583118809238,264.0026570731042,252.4749993911073,273.2555291989098,238.43311617092178
14,221.46998479826627,244.87566302991476,213.9144893579925,267.6469244117761,248.27512307139025,237.34996142161916,240.9944155641518,213.97763627479603,240.236491049696,232.18032540136707,218.54107177678043,215.8563643841496,221.47438676899475,243.17989067473428,246.75626765217808,204.6795254998092,241.8972218366644,230.91497971971788,267.26400250377134,224.37087507275302,231.67955111987513,235.21094301010925,224.06019422816644,215.6942086565869,248.73763991493908,263.8583118809238,248.85606796635636,252.4749993911073,273.2555291989098,238.43311617092178
15,221.46998479826627,220.95875490078808,213.9144893579925,267.6469244117761,248.27512307139025,237.34996142161916,240.9944155641518,213.97763627479603,240.236491049696,218.55398515033312,213.03602687786406,215.8563643841496,192.43352468943382,243.17989067473428,246.75626765217808,204.6795254998092,226.72034055799548,227.44463854143402,258.21019213781443,224.37087507275302,231.67955111987513,235.21094301010925,224.06019422816644,215.6942086565869,248.73763991493908,224.02820161807182,226.6106132152798,237.49747379940274,273.2555291989098,238.43311617092178
16,221.46998479826627,207.1893443754944,213.9144893579925,259.66226324672,239.17999049407433,237.34996142161916,240.9944155641518,213.97763627479603,240.236491049696,218.55398515033312,213.03602687786406,215.8563643841496,192.43352468943382,243.17989067473428,246.75626765217808,204.6795254998092,226.72034055799548,227.44463854143402,258.21019213781443,224.37087507275302,231.67955111987513,235.21094301010925,224.06019422816644,215.6942086565869,228.43623984574538,224.02820161807182,226.6106132152798,237.49747379940274,273.2555291989098,228.10139657676314
17,221.46998479826627,207.1893443754944,204.33243655761365,252.82121011369864,193.77705985185597,233.40026793823392,224.6029767732016,213.97763627479603,235.63926701974128,218.55398515033312,213.03602687786406,215.8563643841496,183.3784265729947,243.17989067473428,246.75626765217808,204.6795254998092,226.72034055799548,173.306396094731,230.71824501497815,218.97593361389428,231.67955111987513,235.21094301010925,219.2823364730864,213.46072972531613,228.43623984574538,224.02820161807182,226.6106132152798,236.20731289953085,273.2555291989098,197.5357448971062
18,221.46998479826627,207.1893443754944,204.33243655761365,250.4975198070443,193.77705985185597,186.43433639417205,224.6029767732016,188.89626150396916,183.0809022059666,218.55398515033312,186.49212130563194,215.8563643841496,183.3784265729947,243.17989067473428,239.09700698661015,204.6795254998092,216.88815525469687,173.306396094731,230.71824501497815,209.40385194588495,204.69997822645874,223.0116752332202,192.19681342280376,213.46072972531613,228.43623984574538,224.02820161807182,226.6106132152798,236.20731289953085,248.97767242545618,197.5357448971062
19,221.46998479826627,202.32941685221022,204.33243655761365,228.4906603263663,193.77705985185597,186.43433639417205,217.95112836878516,188.89626150396916,183.0809022059666,218.55398515033312,186.49212130563194,215.8563643841496,183.3784265729947,243.17989067473428,239.09700698661015,204.6795254998092,216.88815525469687,173.306396094731,206.81629340445684,209.40385194588495,204.69997822645874,214.26608523125935,192.19681342280376,213.46072972531613,224.05659996876633,224.02820161807182,226.6106132152798,236.20731289953085,248.97767242545618,179.40815010265396
20,221.46998479826627,202.32941685221022,194.98099604622965,162.6629857014643,193.77705985185597,179.1816452258288,217.95112836878516,188.89626150396916,183.0809022059666,215.77278630571072,186.49212130563194,215.8563643841496,183.3784265729947,233.57480720635073,239.09700698661015,204.6795254998092,216.88815525469687,173.306396094731,206.81629340445684,209.40385194588495,204.69997822645874,191.19606930695028,192.19681342280376,213.46072972531613,204.24447611434996,224.02820161807182,221.02010755557114,236.20731289953085,241.10824818569682,179.40815010265396
21,221.46998479826627,202.32941685221022,194.98099604622965,162.6629857014643,193.77705985185597,165.7259265026283,201.34429817588466,188.89626150396916,183.0809022059666,200.37955186591265,186.49212130563194,215.8563643841496,183.3784265729947,233.57480720635073,239.09700698661015,204.6795254998092,216.88815525469687,173.306396094731,206.81629340445684,203.4230745449553,204.69997822645874,191.19606930695028,192.19681342280376,213.46072972531613,183.22460984276518,224.02820161807182,221.02010755557114,236.20731289953085,241.10824818569682,178.92626971788366
22,221.46998479826627,202.32941685221022,194.98099604622965,162.6629857014643,193.77705985185597,165.7259265026283,172.43589094149675,179.69979358044984,183.0809022059666,189.16670185841056,185.9773051355017,215.8563643841496,183.3784265729947,233.57480720635073,226.8276790687053,204.6795254998092,216.88815525469687,166.7389172442832,206.81629340445684,203.4230745449553,204.69997822645874,191.19606930695028,192.19681342280376,213.46072972531613,181.00376911996784,224.02820161807182,221.02010755557114,224.85739179680385,241.10824818569682,178.92626971788366
23,221.46998479826627,202.32941685221022,194.98099604622965,162.6629857014643,193.77705985185597,165.7259265026283,172.43589094149675,152.98407164712305,183.0809022059666,186.55097947098898,180.03637652755802,215.8563643841496,183.12450193213581,233.57480720635073,226.8276790687053,204.6795254998092,216.88815525469687,161.2187679166646,204.46089319611508,185.1479390740801,204.69997822645874,191.19606930695028,192.19681342280376,213.46072972531613,179.54713972885256,224.02820161807182,221.02010755557114,224.85739179680385,241.10824818569682,178.92626971788366
24,208.19150623262934,202.32941685221022,194.98099604622965,162.6629857014643,193.77705985185597,165.7259265026283,172.43589094149675,152.98407164712305,183.0809022059666,186.55097947098898,180.03637652755802,215.8563643841496,183.12450193213581,207.42885515092823,226.8276790687053,202.5674064538882,184.43835151059744,161.2187679166646,199.52943715849932,185.1479390740801,204.69997822645874,191.19606930695028,163.23000399720573,213.46072972531613,170.83110345392146,200.6207305807734,220.06283352324667,223.38037359600926,241.10824818569682,178.92626971788366
25,208.19150623262934,202.32941685221022,194.98099604622965,162.6629857014643,193.77705985185597,165.7259265026283,172.43589094149675,152.98407164712305,183.0809022059666,173.3058343665762,159.8468250152217,215.8563643841496,168.54415514545553,202.51796481831462,226.8276790687053,202.5674064538882,184.43835151059744,161.2187679166646,169.05120196768954,185.1479390740801,204.69997822645874,191.19606930695028,163.23000399720573,213.46072972531613,170.83110345392146,200.6207305807734,220.06283352324667,220.2365993304777,241.10824818569682,178.92626971788366
26,187.56712361073784,202.32941685221022,194.98099604622965,162.6629857014643,191.08276503785837,165.7259265026283,172.43589094149675,152.98407164712305,183.0809022059666,173.3058343665762,159.8468250152217,215.8563643841496,168.54415514545553,202.51796481831462,226.8276790687053,202.5674064538882,184.43835151059744,146.2408679903425,169.05120196768954,174.07416002559384,204.69997822645874,178.76358410764462,163.23000399720573,213.46072972531613,170.83110345392146,184.42731784636757,212.01412034787634,220.2365993304777,241.10824818569682,178.92626971788366
