Iteration,Trial_1,Trial_2,Trial_3,Trial_4,Trial_5,Trial_6,Trial_7,Trial_8,Trial_9,Trial_10,Trial_11,Trial_12,Trial_13,Trial_14,Trial_15,Trial_16,Trial_17,Trial_18,Trial_19,Trial_20,Trial_21,Trial_22,Trial_23,Trial_24,Trial_25,Trial_26,Trial_27,Trial_28,Trial_29,Trial_30
1,870.6143984175454,957.411368056094,981.1301819319477,1037.4273971969815,813.3446084554043,866.0176669394073,906.9798202241234,872.6849825818978,864.3541829982455,925.8514025383832,978.6912927621755,1021.4097401224797,970.4985900975997,934.1029306103907,999.8502580913537,823.7996377984523,867.193510656635,1001.9272761169304,1043.383878890387,972.5635122408819,910.7906530910557,1040.842826195196,865.1998662667058,900.4557819522298,1009.90517344279,989.7601628021445,854.2502068618116,875.1265880065536,1012.9463664518395,879.2612969781858
2,726.4146229504603,724.2972366691249,777.8036255495241,860.198975666939,813.3446084554043,785.4298999545247,749.4561909490483,790.877910898813,750.9122629122321,806.366061270566,813.2082450412819,802.1031232443053,771.7015049422548,769.3233952674168,829.9948546110903,707.5340242258372,685.2106217994723,739.6336691210748,774.29893359639,893.7660452837042,840.1658905954033,796.2469873753308,722.1918838457707,684.2821276963926,784.5186283935678,681.4560502443056,682.2057916474089,700.5730850804815,668.8813377448041,815.3477421517655
3,630.101017054041,641.934444017139,666.1659226373431,651.1663328725211,614.083878810811,693.9203805831338,696.9167399827322,638.6516190624051,632.3656814399833,656.3201659276172,676.4707693494585,589.3503094931796,571.4201508021703,650.4969351466166,725.7936389673189,637.9190982638529,581.3923755380894,665.3790671499601,651.7688685745912,796.5253397116098,797.2090786527351,686.2006551949671,584.7401482885679,667.0405612717283,646.2695904458087,596.8314472955459,527.7444332464006,698.2871141206665,570.2613251401739,690.6562383040266
4,581.4654499565769,613.6835984476033,649.4101148695082,483.72946267547854,614.083878810811,676.3064023424171,684.0429247302378,638.6516190624051,610.4216450131361,600.6890944853831,478.6795636429207,549.1370693355556,550.0612653605957,583.6316175744995,624.4350408328785,637.9190982638529,473.0510077371798,599.4551132391166,538.5804750492088,664.6382075701954,642.7114695863825,676.6454881128535,525.3519734205162,565.2552472087771,577.1617957631446,585.3222604876454,488.27312346673375,633.9912881186569,542.6232973398343,674.9869609561304
5,552.1896752178184,516.58698669671,549.0203047586966,483.72946267547854,549.9656943275743,653.0164707087318,604.3377942722134,547.8341172602874,578.3080025182454,572.4389076775449,478.6795636429207,527.8648550429067,494.1428608769356,503.1514347394155,596.1971220519889,583.0437764481504,473.0510077371798,599.4551132391166,538.5804750492088,595.3203767046408,591.8688518117581,574.7523473988963,470.44845673402983,565.2552472087771,548.2316222767146,530.1743954369005,488.27312346673375,531.1314775133793,502.78517882778704,647.3166691663722
6,550.1704392920664,516.58698669671,549.0203047586966,483.72946267547854,502.12799506794215,516.7916698977327,501.4591291934033,547.8341172602874,521.492577405367,495.3990622720025,478.6795636429207,477.6085222025902,475.36627976171036,452.9750983379108,515.269646542227,531.019424132916,458.96535713383224,545.2795972942868,538.5804750492088,591.4131685478427,578.836903727116,461.3504344501247,467.7848616865956,508.4698117093258,488.4213758275191,490.51406175523766,488.27312346673375,531.1314775133793,423.0521154131313,558.9071951614949
7,508.65998608496693,510.1057603980943,535.7909277043498,472.1512982195439,502.12799506794215,516.7916698977327,501.4591291934033,522.6637033956295,498.41230809404203,493.2767325691627,468.47165004539005,477.6085222025902,475.36627976171036,452.9750983379108,478.8698584899592,496.22586888888515,458.96535713383224,472.6413015813193,502.5629434959109,498.8981048678174,539.709247593728,461.3504344501247,418.6482435519383,471.9168456441643,488.4213758275191,490.51406175523766,472.80470545123404,505.97102211467757,422.282471679568,558.5636322890554
8,468.6773725284563,497.079858386636,480.7376119637402,445.19043764222135,471.2862582395985,516.7916698977327,482.4040399932721,475.3672392404843,498.41230809404203,471.99155867342694,468.47165004539005,472.2990694566713,446.93646369320675,424.25590326608113,478.8698584899592,496.22586888888515,439.11122383131345,472.6413015813193,502.5629434959109,498.8981048678174,539.709247593728,452.7666178952437,418.6482435519383,471.9168456441643,488.4213758275191,451.84406832061916,472.80470545123404,505.97102211467757,422.282471679568,496.7598556934015
9,435.00743318423423,468.69773900686056,480.7376119637402,445.19043764222135,471.2862582395985,516.7916698977327,482.4040399932721,467.0627443493291,498.41230809404203,447.6667019150305,464.09607959465444,472.2990694566713,415.75892672690816,424.25590326608113,478.8698584899592,458.74666065830684,425.776423252333,466.9341258068428,502.5629434959109,456.31763922457634,514.6090779891566,446.4662849530979,402.8839392978226,455.1284065409509,488.4213758275191,451.84406832061916,461.8157560867621,491.1602150258422,422.282471679568,496.7598556934015
10,435.00743318423423,446.9637213357521,480.7376119637402,430.90367755347194,450.17578319170065,516.7916698977327,482.4040399932721,467.0627443493291,474.8091030379088,447.6667019150305,428.31423362476943,416.66550337415975,415.75892672690816,424.25590326608113,478.8698584899592,458.74666065830684,398.7787114594757,447.38157443142467,502.5629434959109,456.31763922457634,431.40624134319415,446.4662849530979,402.8839392978226,455.1284065409509,488.4213758275191,374.8984823748636,452.97945075523626,460.4238433625348,422.282471679568,402.51977570315336
11,435.00743318423423,446.9637213357521,480.7376119637402,429.3373040393154,421.0217247782399,490.8413321408752,482.4040399932721,467.0627443493291,474.8091030379088,431.42184060551386,422.99249446701367,411.5892409818491,415.75892672690816,424.25590326608113,453.27873189511445,458.74666065830684,398.7787114594757,414.28666673360055,502.5629434959109,456.31763922457634,431.40624134319415,428.9668426145797,402.8839392978226,447.8578887102088,488.4213758275191,374.8984823748636,422.7906792322333,460.4238433625348,422.282471679568,402.51977570315336
12,392.24740985880334,444.3896844451337,480.7376119637402,429.3373040393154,420.93462853870057,490.8413321408752,482.4040399932721,467.0627443493291,464.0124428444154,406.872560876987,422.99249446701367,399.7067627081515,408.4544572075315,424.25590326608113,438.5437931211203,458.74666065830684,398.7787114594757,387.6293207567618,502.5629434959109,456.31763922457634,431.40624134319415,428.9668426145797,361.23604046767764,447.8578887102088,488.4213758275191,374.8984823748636,422.7906792322333,460.4238433625348,422.282471679568,402.51977570315336
